ROC,PR,,,,,,,
0.85939196,0.140559355,,,,,,,
0.934338027,0.22284772,,,,,,,
0.986514331,0.611023153,,,,,,,
0.991553163,0.249929103,,,,,,,
0.958533786,0.339792674,,,,,,,
0.913185701,0.209170879,,,,,,,
0.950281734,0.322317735,,,,,,,
0.973796155,0.314928586,,,,,,,
0.974028212,0.193530827,,,,,,,
0.972105236,0.383611472,,,,,,,
0.945498048,0.242308885,,,,,,,
0.933822614,0.098640839,,,,,,,
0.934905022,0.372957693,,,,,,,
0.894208194,0.040602517,,,,,,,
0.900004541,0.156765873,,,,,,,
0.941780634,0.315639667,,,,,,,
0.931701455,0.300973219,,,,,,,
0.924116444,0.329544602,,,,,,,
0.949871893,0.539420342,,,,,,,
0.964862432,0.289334152,,,,,,,
0.988562661,0.56441933,,,,,,,
0.970139168,0.275012212,,,,,,,
0.995926489,0.453591054,,,,,,,
0.960944954,0.207351907,,,,,,,
0.982489603,0.274516213,,,,,,,
0.908093902,0.081808111,,,,,,,
0.926739313,0.18176243,,,,,,,
0.965133446,0.397169266,,,,,,,
0.863379647,0.033411427,,,,,,,
0.907725264,0.254729237,,,,,,,
0.99314669,0.195003975,,,,,,,
0.901600887,0.156205048,,,,,,,
0.971639769,0.341791105,,,,,,,
0.979536769,0.378644662,,,,,,,
0.936870071,0.300871458,,,,,,,
0.978712719,0.303258519,,,,,,,
0.973239212,0.336909919,,,,,,,
0.974354309,0.382391711,,,,,,,
0.933162637,0.217889175,,,,,,,
0.984538347,0.182328458,,,,,,,
0.955132676,0.318953746,,,,,,,
0.9177736,0.36966069,,,,,,,
0.918984761,0.09348891,,,,,,,
0.896744814,0.256562514,,,,,,,
0.883891768,0.248635078,,,,,,,
0.881657061,0.254605426,,,,,,,
0.95657922,0.253579018,,,,,,,
0.951956117,0.309486652,,,,,,,
0.884650623,0.254334989,,,,,,,
0.991958619,0.628841528,,,,,,,
0.876049107,0.208830984,,,,,,,
0.956465259,0.562499313,,,,,,,
0.975478236,0.345517838,,,,,,,
0.928839424,0.240136258,,,,,,,
0.931044707,0.220193406,,,,,,,
0.960225129,0.371372653,,,,,,,
0.989543249,0.705893547,,,,,,,
0.838552023,0.019681342,,,,,,,
0.811434596,0.035667252,,,,,,,
0.81149563,0.035215123,,,,,,,
0.900787633,0.236599701,,,,,,,
0.824719171,0.127908204,,,,,,,
0.849030113,0.075177598,,,,,,,
0.979943745,0.394713344,,,,,,,
0.899456667,0.291636079,,,,,,,
0.959718736,0.127801465,,,,,,,
0.968025397,0.482693645,,,,,,,
0.961203993,0.320484263,,,,,,,
0.709758067,0.008338489,,,,,,,
0.987445158,0.623068554,,,,,,,
0.906338074,0.389529874,,,,,,,
0.93765483,0.135642585,,,,,,,
0.993494796,0.543699215,,,,,,,
0.929225521,0.174398871,,,,,,,
0.999445583,0.421970719,,,,,,,
0.974084844,0.245329122,,,,,,,
0.864259356,0.065595818,,,,,,,
0.926802126,0.243629712,,,,,,,
0.949972815,0.075889319,,,,,,,
0.981373759,0.602705612,,,,,,,
0.950918758,0.16168311,,,,,,,
0.835849156,0.116083792,,,,,,,
0.952077173,0.346202703,,,,,,,
0.903783672,0.121455636,,,,,,,
0.962510022,0.076865684,,,,,,,
0.955413201,0.307550468,,,,,,,
0.947518572,0.362842678,,,,,,,
0.92496563,0.285184244,,,,,,,
0.977717045,0.279262883,,,,,,,
0.918589731,0.182347043,,,,,,,
0.982879942,0.236278988,,,,,,,
0.936931377,0.378707789,,,,,,,
0.995270352,0.468643538,,,,,,,
0.950230848,0.148632017,,,,,,,
0.908941179,0.171123537,,,,,,,
0.89396144,0.311338295,,,,,,,
0.912203326,0.298622646,,,,,,,
0.955322065,0.333164576,,,,,,,
0.988695002,0.0003885,,,,,,,
0.981444088,0.605015155,,,,,,,
0.893062719,0.1546579,,,,,,,
0.944093012,0.300437916,,,,,,,
0.976338598,0.674325889,,,,,,,
0.898024241,0.029839221,,,,,,,
0.903997301,0.082038597,,,,,,,
0.913063007,0.149813158,,,,,,,
0.89290428,0.174361852,,,,,,,
0.979685908,0.164327018,,,,,,,
0.974542968,0.27474645,,,,,,,
0.86083452,0.086105023,,,,,,,
0.910306726,0.079068426,,,,,,,
0.988347081,0.604033798,,,,,,,
0.78047025,0.001407041,,,,,,,
0.96378268,0.300101019,,,,,,,
0.927296858,0.297830625,,,,,,,
0.913512626,0.348645015,,,,,,,
0.948365353,0.134946284,,,,,,,
0.943323307,0.446190247,,,,,,,
0.940368893,0.228401919,,,,,,,
0.968218621,0.531737818,,,,,,,
0.927240571,0.128490076,,,,,,,
0.925089107,0.404841898,,,,,,,
0.951923853,0.071791619,,,,,,,
0.973013646,0.509704692,,,,,,,
0.932741998,0.164915403,,,,,,,
0.956867621,0.538332504,,,,,,,
0.952502038,0.138099359,,,,,,,
0.937008764,0.404867546,,,,,,,
0.957794139,0.109368229,,,,,,,
0.956987395,0.476635371,,,,,,,
0.943451813,0.187228051,,,,,,,
0.955193685,0.153754175,,,,,,,
0.974681618,0.371755466,,,,,,,
0.95020005,0.062569366,,,,,,,
0.960503344,0.192400874,,,,,,,
0.968334525,0.117904158,,,,,,,
0.970298522,0.179774301,,,,,,,
0.958751325,0.159129068,,,,,,,
0.968850307,0.222466273,,,,,,,
0.951499734,0.212656753,,,,,,,
0.961934868,0.378632414,,,,,,,
0.934050694,0.210485382,,,,,,,
0.968028855,0.221116844,,,,,,,
0.995220685,0.430909258,,,,,,,
0.981065535,0.653253149,,,,,,,
0.859906238,0.022450991,,,,,,,
0.945526829,0.320196983,,,,,,,
0.969747946,0.192901026,,,,,,,
0.958932647,0.379268084,,,,,,,
0.983327924,0.366878812,,,,,,,
0.951871442,0.541155205,,,,,,,
0.944025913,0.47680066,,,,,,,
0.86606952,0.180678331,,,,,,,
0.901145823,0.160378648,,,,,,,
0.798115118,0.108479196,,,,,,,
0.993982931,0.484755968,,,,,,,
0.809636188,0.045661371,,,,,,,
0.859539981,0.182255863,,,,,,,
0.853731905,0.133924726,,,,,,,
0.855025792,0.155955032,,,,,,,
0.903083976,0.132093008,,,,,,,
0.913377069,0.086002437,,,,,,,
0.913260357,0.093325056,,,,,,,
0.935474684,0.18830583,,,,,,,
0.861310617,0.000106,,,,,,,
0.83848346,0.188582594,,,,,,,
0.863687718,0.004198563,,,,,,,
0.928786097,0.350849125,,,,,,,
0.970622628,0.219706618,,,,,,,
0.9432722,0.331296215,,,,,,,
0.946058244,0.311000603,,,,,,,
0.945112995,0.224690876,,,,,,,
0.909183,0.172041396,,,,,,,
0.980971727,0.268321587,,,,,,,
0.968374491,0.170755287,,,,,,,
0.979334103,0.243113853,,,,,,,
0.970541246,0.353438807,,,,,,,
0.953231168,0.330111558,,,,,,,
0.925105986,0.202751225,,,,,,,
0.990579802,0.401997542,,,,,,,
0.971995171,0.1289061,,,,,,,
0.98715302,0.190140659,,,,,,,
0.948338075,0.348075263,,,,,,,
0.947488465,0.306190095,,,,,,,
0.924190817,0.313207833,,,,,,,
0.969226168,0.350264618,,,,,,,
0.940231144,0.246206551,,,,,,,
0.94381902,0.29151463,,,,,,,
0.925822505,0.217274594,,,,,,,
0.968396313,0.459246622,,,,,,,
0.908304972,0.22848427,,,,,,,
0.873387335,0.275267092,,,,,,,
0.954964019,0.567667527,,,,,,,
0.874614432,0.054487062,,,,,,,
0.961284768,0.536001515,,,,,,,
0.912583717,0.209477558,,,,,,,
0.911429935,0.054317682,,,,,,,
0.962453391,0.494590432,,,,,,,
0.751246323,0.003338078,,,,,,,
0.822718664,0.13227326,,,,,,,
0.917253134,0.180809858,,,,,,,
0.90106894,0.22076587,,,,,,,
0.848963071,0.14730861,,,,,,,
0.848922965,0.022565413,,,,,,,
0.922920235,0.06477241,,,,,,,
0.885386849,0.02424188,,,,,,,
0.954569825,0.229727536,,,,,,,
0.853889153,0.044100957,,,,,,,
0.963627144,0.292381865,,,,,,,
0.800729638,2.21E-05,,,,,,,
0.847195022,0.067971792,,,,,,,
0.901090906,0.131118592,,,,,,,
0.944627848,0.171270328,,,,,,,
0.994127145,0.151547502,,,,,,,
0.966388766,0.293845822,,,,,,,
0.97542761,0.571068876,,,,,,,
0.979369868,0.192270399,,,,,,,
0.968455083,0.333378583,,,,,,,
0.955933419,0.143940302,,,,,,,
0.964250207,0.01555453,,,,,,,
0.997387133,0.152357916,,,,,,,
0.962506005,0.190642234,,,,,,,
0.930491643,0.128172593,,,,,,,
0.996571308,0.277822435,,,,,,,
0.972212502,0.510480274,,,,,,,
0.969753451,0.526608044,,,,,,,
0.972981615,0.696775425,,,,,,,
0.972115091,0.561507268,,,,,,,
0.975414679,0.313086329,,,,,,,
0.971949662,0.35856705,,,,,,,
0.960997029,0.372901135,,,,,,,
0.985040891,0.521726736,,,,,,,
0.937119234,0.103861487,,,,,,,
0.911421173,0.009745527,,,,,,,
0.958384317,0.387643711,,,,,,,
0.936347742,0.370615191,,,,,,,
0.793889131,0.031225047,,,,,,,
0.983192492,0.607171302,,,,,,,
0.885389869,0.185089803,,,,,,,
0.979694469,0.597720921,,,,,,,
0.969341627,0.157136205,,,,,,,
0.937411283,0.314362565,,,,,,,
0.884835602,0.058581399,,,,,,,
0.966157001,0.128848355,,,,,,,
0.98497205,0.267948957,,,,,,,
0.639157993,4.71E-05,,,,,,,
0.933784943,0.411792314,,,,,,,
